year_group,ks_level,topic_strand,sub_strand,statement
8,3,Algebra,Algebra,model situations or procedures by translating them into algebraic expressions or formulae and by using graphs
8,3,Algebra,Algebra,use algebraic methods to solve linear equations in 1 variable (including all forms that require rearrangement)
8,3,Algebra,Algebra,work with coordinates in all 4 quadrants
8,3,Algebra,Algebra,"recognise, sketch and produce graphs of linear and quadratic functions of 1 variable with appropriate scaling, using equations in x and y and the Cartesian plane"
8,3,Algebra,Algebra,interpret mathematical relationships both algebraically and graphically
8,3,Algebra,Algebra,"reduce a given linear equation in 2 variables to the standard form y = mx + c; calculate and interpret gradients and intercepts of graphs of such linear equations numerically, graphically and algebraically"
8,3,Algebra,Algebra,use linear and quadratic graphs to estimate values of y for given values of x and vice versa and to find approximate solutions of simultaneous linear equations
8,3,Algebra,Algebra,"find approximate solutions to contextual problems from given graphs of a variety of functions, including piece-wise linear, exponential and reciprocal graphs"
8,3,Algebra,Algebra,generate terms of a sequence from either a term-to-term or a position-to-term rule
8,3,Algebra,Algebra,recognise arithmetic sequences and find the nth term
8,3,Algebra,Algebra,recognise geometric sequences and appreciate other sequences that arise
8,3,Ratio,"Ratio, Proportion and Rates of Change",change freely between related standard units
8,3,Ratio,"Ratio, Proportion and Rates of Change","use scale factors, scale diagrams and maps"
8,3,Ratio,"Ratio, Proportion and Rates of Change","express 1 quantity as a fraction of another, where the fraction is less than 1 and greater than 1"
8,3,Ratio,"Ratio, Proportion and Rates of Change","use ratio notation, including reduction to simplest form"
8,3,Ratio,"Ratio, Proportion and Rates of Change",divide a given quantity into 2 parts in a given part:part or part:whole ratio; express the division of a quantity into 2 parts as a ratio
8,3,Ratio,"Ratio, Proportion and Rates of Change",understand that a multiplicative relationship between 2 quantities can be expressed as a ratio or a fraction
8,3,Ratio,"Ratio, Proportion and Rates of Change",relate the language of ratios and the associated calculations to the arithmetic of fractions and to linear functions
8,3,Ratio,"Ratio, Proportion and Rates of Change","solve problems involving percentage change, including: percentage increase, decrease and original value problems and simple interest in financial mathematics"
8,3,Ratio,"Ratio, Proportion and Rates of Change","solve problems involving direct and inverse proportion, including graphical and algebraic representations"
8,3,Ratio,"Ratio, Proportion and Rates of Change","use compound units such as speed, unit pricing and density to solve problems"
8,3,Geometry,Geometry and Measures,"derive and apply formulae to calculate and solve problems involving: perimeter and area of triangles, parallelograms, trapezia, volume of cuboids (including cubes) and other prisms (including cylinders)"
